salary,commission,age,gender,marital,elevel,car,zipcode,creditscore,hvalue,hyears,loan,group
127596,0,71,m,d,0,14,6,584,623730,5,301357,0
69402,?,20,f,k,1,5,4,345,331822,19,265391,0
98102,0,69,m,s,4,6,8,732,1003354,30,138218,1
138038,0,53,m,s,4,2,0,358,0,17,329129,0
27080,20354,72,m,s,0,6,0,778,0,4,197644,1
46661,44680,37,f,d,1,7,6,460,611149,23,?,0
144034,0,33,f,d,2,6,7,778,462776,24,130929,1
70028,43958,38,f,d,1,4,3,561,441117,8,173013,1
59936,61904,67,m,s,0,4,6,430,331086,12,64605,1
95731,0,50,m,m,1,3,8,511,1004039,26,216386,1
124530,0,22,f,k,1,19,2,436,190570,8,245040,1
143440,0,24,f,s,3,12,6,596,836232,24,13614,0
22924,18220,?,m,d,1,13,6,590,753310,22,147460,0
148910,0,55,f,m,1,19,4,762,598410,15,223753,0
54999,18174,52,m,m,4,18,7,?,623100,10,441965,0
144966,0,54,f,d,0,14,3,351,352656,22,?,1
96897,0,28,f,s,0,13,5,557,576766,4,3187,0
136253,?,35,m,d,0,15,6,742,541904,25,398830,0
144418,?,52,f,d,2,17,6,608,783229,18,478030,0
139496,0,65,f,k,0,20,1,474,136413,?,?,0
88001,0,69,f,m,0,14,4,558,442008,17,447521,1
113549,0,45,m,k,0,13,0,508,0,21,88465,0
113517,0,46,f,m,1,1,?,618,1196203,25,299742,1
56237,11499,21,f,d,3,2,4,808,257523,5,455891,0
42446,58683,23,m,m,4,9,4,408,333930,29,196538,0
133528,0,44,m,m,3,5,5,572,603716,17,497158,0
122119,0,24,m,k,3,15,3,813,271704,26,368173,0
56598,36613,40,m,?,4,12,7,420,736456,4,201267,0
64633,30831,29,f,k,3,1,1,314,60871,3,439452,0
122865,0,54,m,d,3,18,7,665,742333,15,451275,0
22201,52830,70,m,m,0,14,9,610,695012,17,246556,0
61900,32082,?,f,m,0,2,9,807,569901,10,456018,0
53293,31371,43,m,s,3,14,9,339,880129,?,63352,0
74439,16826,22,f,s,3,7,8,842,437110,29,171342,1
131972,0,43,m,s,2,5,6,487,835812,29,156621,0
84927,0,45,m,k,0,16,5,380,591592,7,232588,0
89157,0,58,m,m,1,1,7,362,950475,13,305960,1
86383,0,53,f,m,4,3,9,584,768520,4,299063,1
105097,0,63,f,m,0,7,8,796,513013,21,320861,0
54281,26938,44,m,s,4,4,8,775,1008242,21,256470,0
129961,0,33,m,?,0,11,5,412,487475,14,266518,0
51762,56037,52,?,k,1,1,3,428,167647,23,26649,1
54598,30828,67,f,m,2,6,2,679,294254,29,447171,0
48266,31370,56,f,d,3,10,1,535,97845,29,57904,1
70954,29513,21,m,d,3,4,5,691,406966,26,324672,1
76576,0,31,m,k,1,8,6,505,549375,8,430044,1
96291,0,74,f,s,3,12,2,777,271256,22,239757,1
84983,0,39,f,k,0,19,4,516,291690,2,400004,0
128139,?,66,m,m,3,8,8,611,679056,14,134783,0
30635,27747,29,f,s,0,14,0,452,0,15,126522,0
60413,30531,41,m,d,1,5,4,602,504483,30,3886,1
80778,0,47,m,s,3,19,1,757,52235,4,269654,0
74847,34482,62,f,d,4,7,2,688,213001,15,171301,1
100122,0,25,f,d,0,3,9,397,1307887,16,95360,1
125446,0,60,f,s,0,6,3,510,286099,26,493414,0
121258,0,73,m,m,2,20,9,730,757305,6,134092,0
22540,48307,36,m,k,0,18,6,445,600018,30,226165,1
111000,0,56,f,d,1,7,5,845,464936,4,494028,0
47092,31460,?,f,k,2,9,4,709,223389,23,264697,0
66682,28868,36,f,m,4,19,9,602,1004166,24,254508,1
104455,0,26,f,m,1,4,3,482,211090,22,369040,0
122467,0,32,m,d,0,5,4,814,494607,15,314594,0
40161,59198,29,f,k,2,5,1,687,112829,18,334643,0
122915,0,60,m,s,0,15,8,339,809472,3,379543,1
104709,0,50,f,k,2,1,0,431,0,1,167101,1
31500,68279,47,m,d,3,15,0,?,0,13,293816,0
71516,50548,60,f,d,3,14,2,345,128843,10,198692,1
140734,0,75,f,d,1,?,7,754,454728,30,194998,1
108318,0,46,m,d,4,16,4,771,241057,12,488531,1
131297,0,53,m,k,0,9,6,483,737828,2,369244,0
127429,0,23,m,d,3,17,2,470,230852,16,57790,0
115658,0,68,m,d,1,15,9,322,1310907,27,421017,0
27655,15750,47,m,s,2,9,9,732,1169927,9,353265,0
146417,0,61,m,s,2,19,8,542,1103873,26,75570,0
63014,14884,31,f,k,2,14,2,316,238570,11,40815,1
106320,0,50,m,m,0,7,8,471,822882,26,58830,1
46248,14046,49,m,m,3,13,6,773,514365,3,96148,0
92883,0,52,m,m,3,16,0,537,?,2,99297,1
64790,45711,56,f,s,4,15,8,639,554772,3,332050,1
74193,35161,50,f,m,0,10,2,791,255834,12,477653,1
144139,0,60,f,s,4,10,8,686,1166514,7,?,1
83999,0,48,f,s,4,20,1,750,?,8,489942,0
77233,0,60,f,s,0,1,2,438,256575,2,344876,0
126689,0,43,m,m,0,20,9,663,1279790,9,246190,0
146522,0,41,f,k,3,9,4,755,301099,4,278258,1
65534,49654,23,m,d,2,8,7,421,487293,26,249723,1
42313,41038,?,f,m,1,1,1,616,106034,9,55589,1
134352,0,77,f,d,1,?,9,450,1002086,4,355617,1
133534,0,61,m,d,2,20,4,585,430131,25,389352,0
45563,61207,73,f,m,4,16,7,418,738091,22,156476,0
120031,0,65,f,s,1,8,8,535,1133581,20,95988,0
55643,10097,61,?,k,4,19,7,818,969719,20,466089,0
99665,0,37,m,k,2,7,2,404,258979,8,74189,0
47264,31811,28,f,m,1,17,1,759,70882,4,239434,1
130567,0,65,f,d,3,15,8,562,817584,30,450678,0
141138,0,38,m,d,0,1,7,726,511298,13,178518,0
38072,56581,75,m,m,3,4,4,387,500744,1,69973,1
127340,0,65,m,m,3,9,0,828,0,4,223170,0
143263,0,48,m,d,2,14,5,755,279308,12,395113,0
80993,0,24,f,k,2,20,9,678,1019837,2,489968,0
40781,73780,65,f,s,1,?,6,746,397151,12,230902,0
116016,0,40,m,s,1,2,2,454,277251,9,3201,0
