salary,commission,age,gender,marital,elevel,car,zipcode,creditscore,hvalue,hyears,loan,group
51285,50189,78,f,s,1,16,6,633,686941,21,80018,0
133720,0,47,m,m,3,7,0,348,0,6,472340,0
104042,0,77,m,s,0,9,7,523,428824,24,115315,1
36645,61285,48,m,k,4,3,9,625,1247271,5,416612,0
119707,0,23,f,k,2,18,1,655,75877,14,85850,1
73438,?,59,f,m,3,12,7,367,585911,?,235734,0
149574,0,?,m,k,1,12,3,601,280261,15,61565,0
26655,53707,27,f,d,3,17,1,663,129232,21,45755,1
32866,65805,25,f,m,4,4,6,690,359151,5,172246,1
121698,0,73,f,k,2,4,5,327,428888,6,191527,1
82409,0,34,m,k,4,6,3,396,211140,5,326937,0
87491,0,32,m,?,1,6,4,786,530002,5,49634,0
24459,68799,61,m,s,1,4,0,376,0,29,227629,1
119189,?,29,m,m,4,10,?,479,276153,6,432074,0
22095,28037,54,f,m,0,2,2,677,295295,20,426804,0
48634,59553,73,m,d,3,1,7,407,519947,13,206382,0
94122,?,37,m,m,3,3,7,?,686640,13,78067,1
64636,30007,58,m,d,1,13,5,355,322642,18,8950,1
26518,41105,71,m,m,0,9,1,482,127911,11,470470,1
123200,0,74,m,m,4,4,4,302,213904,14,225776,0
106163,0,23,m,s,0,6,0,364,0,13,246152,0
112460,0,41,m,d,0,10,3,337,311377,12,223639,1
140684,0,26,m,k,2,4,4,572,329703,17,275724,0
72563,43121,24,m,k,2,7,8,511,636813,24,60173,0
31641,14635,68,m,k,4,20,1,673,101910,21,324007,1
133192,?,27,f,d,2,11,3,638,213367,14,103241,1
73174,73237,29,f,s,4,20,9,407,1345107,24,258282,1
33591,35840,73,f,k,4,15,3,543,333231,14,483963,0
62790,53329,58,m,s,2,20,4,528,398563,17,169392,0
98381,0,31,m,s,4,6,6,458,?,14,280687,1
140023,0,62,f,s,2,12,1,444,85794,21,29509,1
93114,0,58,f,k,0,13,7,476,584003,16,221099,0
120987,0,67,f,k,1,11,?,442,214291,23,236903,1
58431,42572,40,m,d,0,1,3,476,398029,8,27297,0
119152,0,60,f,m,4,1,9,805,674202,17,191806,0
59422,27270,28,m,k,0,16,4,326,244151,26,459140,1
38639,28485,36,f,d,4,20,?,307,121467,13,470234,0
89327,0,64,f,m,1,19,?,417,151883,4,54286,0
78226,0,45,m,k,0,20,5,576,275059,5,499240,0
64050,67751,58,f,d,3,18,2,316,129769,30,132111,1
86331,?,35,f,m,0,16,1,454,149399,3,49022,1
143304,?,28,m,s,4,13,8,610,410794,28,159314,1
110609,?,66,f,k,4,8,2,715,191617,5,33536,1
148173,0,63,m,d,?,15,3,750,440677,12,477002,0
99615,0,41,f,s,1,6,?,607,407386,14,140551,0
112144,0,73,m,s,2,10,3,664,276024,25,370038,1
37161,23867,50,m,s,2,7,1,323,96087,3,?,0
144217,0,61,m,m,4,5,1,683,147402,28,413942,0
42965,32677,77,m,k,1,13,6,730,634394,5,420046,0
86727,0,37,m,k,4,4,3,465,308878,13,451466,0
82118,0,48,m,d,1,15,9,399,854576,24,312941,1
60964,49256,21,f,m,4,18,5,813,417644,11,381482,0
73231,64758,53,f,s,0,6,2,604,189995,16,342458,0
115833,0,65,f,m,4,9,9,787,856438,5,236322,0
83930,0,75,m,s,3,8,5,345,432559,5,430155,1
87617,0,54,f,k,2,8,3,596,163243,18,168701,1
147301,0,49,f,s,0,9,2,668,234594,15,180289,0
79333,0,71,m,k,3,7,9,482,1258480,25,246375,1
144715,0,58,m,s,1,15,3,771,286058,11,162599,0
103562,0,64,m,s,2,6,7,406,528363,16,237729,1
118343,0,36,f,m,0,19,9,383,851299,14,389888,0
74078,51371,54,m,m,3,8,6,643,672588,13,103792,0
120157,0,62,f,k,3,7,7,516,619484,16,196526,0
129164,0,69,f,d,4,20,4,725,571050,15,51452,1
88777,0,39,f,d,1,?,4,460,260437,22,45849,1
141512,0,59,f,s,3,14,0,677,0,25,219395,0
79083,0,69,m,?,4,16,2,565,189344,12,477688,0
66975,12640,25,m,m,0,14,1,672,51738,29,311513,1
83140,0,38,m,m,2,20,7,839,814949,1,54151,1
68329,56239,73,m,d,3,15,3,678,234012,25,62407,1
58850,27114,27,f,k,0,4,7,741,415562,4,473785,0
145996,0,36,?,d,0,1,4,721,425845,25,105266,1
88585,0,46,f,k,4,4,4,377,585027,18,429292,0
91245,0,80,f,k,1,13,6,801,487567,3,294337,0
143874,0,37,f,s,4,9,7,661,731345,13,483391,1
37247,25084,66,m,s,0,1,1,690,111237,8,153121,1
83147,0,70,m,d,3,5,3,844,253652,24,133825,1
126641,0,36,m,d,2,2,7,?,465132,13,494048,0
33054,67575,20,m,s,3,3,3,516,?,16,175559,1
109938,0,29,m,?,1,2,3,475,186440,17,?,1
41224,22882,34,m,s,4,9,3,724,332097,10,321000,1
84587,0,79,f,m,3,?,5,420,505034,24,99792,0
53484,63731,64,m,k,1,16,6,828,457666,11,431054,0
41564,52334,65,f,s,1,8,7,355,363250,2,440141,1
68512,66648,36,m,s,1,6,7,689,364697,6,9827,1
140222,0,77,m,k,0,6,3,?,214003,8,308954,0
57338,67882,50,f,m,2,2,4,771,598089,5,143633,0
55868,57626,79,f,k,1,8,8,367,530727,23,312713,0
116882,0,48,m,s,0,9,3,517,382327,?,108120,0
41489,53131,66,f,s,2,8,8,747,479061,1,313251,1
117879,0,25,f,m,3,1,9,387,626093,26,493533,0
106640,0,23,m,d,4,2,4,632,476160,19,336207,0
104854,0,35,m,d,1,7,3,326,352132,3,88377,0
147105,0,62,m,m,2,12,4,573,489866,30,12736,0
102047,0,76,m,d,0,18,3,331,161946,16,21710,0
55225,13649,62,m,m,1,19,6,522,442982,3,42795,1
55638,46414,48,m,d,?,12,?,752,700526,16,116069,1
97454,0,67,m,m,?,2,9,650,634490,1,475352,0
77807,0,53,f,s,1,13,?,378,1024282,8,423243,0
125124,0,52,m,k,0,16,?,653,551829,19,14205,0
116257,0,20,f,d,2,7,5,383,622589,4,479138,0
85590,0,49,f,m,4,16,2,326,205316,3,308527,1
